idx,pred,true,pred_bin_05,pred_bin_best,best_threshold
2396,0.14162953,0.0,0,0,0.34254003
2399,6.6653185e-05,0.0,0,0,0.34254003
2402,0.0023179904,0.0,0,0,0.34254003
2403,0.0026245895,0.0,0,0,0.34254003
2413,0.102199875,0.0,0,0,0.34254003
2420,0.00044018266,0.0,0,0,0.34254003
2437,0.014489655,0.0,0,0,0.34254003
2439,0.061956026,0.0,0,0,0.34254003
2440,0.13241792,0.0,0,0,0.34254003
2441,0.00069119787,0.0,0,0,0.34254003
2442,0.004065366,0.0,0,0,0.34254003
2459,0.003858504,0.0,0,0,0.34254003
2461,0.00045687647,0.0,0,0,0.34254003
2466,0.00090079935,0.0,0,0,0.34254003
2468,0.012264705,0.0,0,0,0.34254003
2473,0.0030118937,0.0,0,0,0.34254003
2477,0.00074545474,0.0,0,0,0.34254003
2483,4.855283e-06,0.0,0,0,0.34254003
2494,0.0754333,0.0,0,0,0.34254003
2495,0.49842528,1.0,0,1,0.34254003
2498,0.11699734,0.0,0,0,0.34254003
2505,0.00025914094,0.0,0,0,0.34254003
2510,0.16157106,0.0,0,0,0.34254003
2518,0.0055941567,0.0,0,0,0.34254003
2520,0.13137837,0.0,0,0,0.34254003
2523,0.95443135,1.0,1,1,0.34254003
2525,0.0057892716,0.0,0,0,0.34254003
2528,0.46591455,0.0,0,1,0.34254003
2529,0.7062434,1.0,1,1,0.34254003
2532,0.037974633,0.0,0,0,0.34254003
2535,0.00034510874,0.0,0,0,0.34254003
2537,0.2248362,1.0,0,0,0.34254003
2540,0.037359506,0.0,0,0,0.34254003
2542,0.13706896,0.0,0,0,0.34254003
2548,0.0002106411,0.0,0,0,0.34254003
2549,0.040800605,0.0,0,0,0.34254003
2552,0.0008378772,0.0,0,0,0.34254003
2555,0.0004813179,0.0,0,0,0.34254003
2560,0.0007366556,0.0,0,0,0.34254003
2570,0.9740026,1.0,1,1,0.34254003
2571,0.06545146,0.0,0,0,0.34254003
2574,3.7492046e-05,0.0,0,0,0.34254003
2577,0.9964489,1.0,1,1,0.34254003
2579,0.00026657188,0.0,0,0,0.34254003
2581,0.010731811,0.0,0,0,0.34254003
2586,0.17094213,0.0,0,0,0.34254003
2595,0.408673,1.0,0,1,0.34254003
2597,0.00015371433,0.0,0,0,0.34254003
2599,0.08361535,0.0,0,0,0.34254003
2602,0.7255252,0.0,1,1,0.34254003
2603,0.0019514961,0.0,0,0,0.34254003
2605,0.9232696,1.0,1,1,0.34254003
2610,0.001982446,0.0,0,0,0.34254003
2618,0.00013740624,0.0,0,0,0.34254003
2619,0.20260271,0.0,0,0,0.34254003
2622,0.00050854805,0.0,0,0,0.34254003
2624,0.0047797207,0.0,0,0,0.34254003
2633,0.00028616027,0.0,0,0,0.34254003
2639,0.46132,0.0,0,1,0.34254003
2645,0.2941472,0.0,0,0,0.34254003
2647,0.5387347,0.0,1,1,0.34254003
2648,0.91364664,1.0,1,1,0.34254003
2649,3.7680944e-05,0.0,0,0,0.34254003
2650,0.98138696,1.0,1,1,0.34254003
2654,0.0001440096,0.0,0,0,0.34254003
2656,0.00014218177,0.0,0,0,0.34254003
2658,0.015722772,0.0,0,0,0.34254003
2661,0.803821,1.0,1,1,0.34254003
2663,0.03443336,0.0,0,0,0.34254003
2667,0.09069173,1.0,0,0,0.34254003
2669,0.33972788,0.0,0,0,0.34254003
2670,0.0027369005,0.0,0,0,0.34254003
2678,0.007296023,0.0,0,0,0.34254003
2683,0.009208765,0.0,0,0,0.34254003
2686,0.88948673,1.0,1,1,0.34254003
2690,0.008751538,1.0,0,0,0.34254003
2696,0.00024109897,0.0,0,0,0.34254003
2698,0.9846751,1.0,1,1,0.34254003
